SMILES,Name,Task,Planar,Collinear,Type
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,Zidovudine,Known molecules,-1,1,Azide
[N-]=[N+]=NC[C@H](O)c1ccc([N+](=O)[O-])cc1,(R)-1-Para-Nitro-Phenyl-2-Azido-Ethanol,Known molecules,-1,1,Azide
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N=[N+]=[N-])c3ccccc3)C(=O)N2[C@H]1C(=O)O,Azidocillin,Known molecules,-1,1,Azide
C[S@@](=O)CCCCN=C=S,Sulphoraphane,Known molecules,-1,1,Thioisocyanate
S=C=NCCc1ccccc1,Phenethyl isothiocyanate,Known molecules,-1,1,Thioisocyanate
COC(=O)CCC=C=CC[C@@H]1C(=O)C[C@H](O)[C@H]1/C=C/[C@H](O)COc1ccccc1,Enprostil,Known molecules,-1,1,Allene
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,Erlotinib,Known molecules,-1,1,Alkyne
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,Efavirenz,Known molecules,-1,1,Alkyne
Clc1cc(Cl)c(OCC#CI)cc1Cl,Haloprogin,Known molecules,-1,1,Alkyne
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,Terbynafine,Known molecules,-1,1,Alkyne
CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,Tazarotene,Known molecules,-1,1,Alkyne
CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,Oxybutynine,Known molecules,0,1,"Alkyne, cyclohexane"
NC(=O)N(O)CCC#C[C@@H]1CC[C@@H](COc2ccc(F)cc2)O1,MLN-977,Known molecules,0,1,"Alkyne, THF"
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1nnc2ccccn12,Vamotinib,Known molecules,-1,1,Alkyne
CCCCNC(=O)OCC#CI,Iodopropynyl butylcarbamate,Known molecules,-1,1,Alkyne
[C-]#[N+]CCCC,N-Butyl Isocyanide,Known molecules,-1,1,Isocyanide
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,Citalopram,Known molecules,-1,1,Cyanide
C/N=C(\NC#N)NCCSCc1nc[nH]c1C,Cimetidine,Known molecules,-1,1,Cyanide
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,Cefmetazole,Known molecules,-1,1,Cyanide
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@@H]2C1,Praziquantel,Known molecules,0,-1,Cyclohexane
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,Dicyclomine,Known molecules,0,-1,Cyclohexane
CN[C@@H](C)CC1CCCCC1,Propylhexedrine,Known molecules,0,-1,Cyclohexane
NS(=O)(=O)c1cc2c(cc1Cl)CN(C1CCCCC1)C2=O,Chlorexolone,Known molecules,0,-1,Cyclohexane
O=C(O)[C@@H]1C[C@@H](C2CCCCC2)CN1C(=O)C[P@@](=O)(O)CCCCc1ccccc1,Fosinoprilat,Known molecules,0,-1,"Cyclohexane,pyrrolidine"
O=c1nc(N2CCN(CC3CCCCC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12,Macozinone,Known molecules,0,-1,Cyclohexane
COc1cc2nc(N(C)CCCNC(=O)[C@@H]3CCCO3)nc(N)c2cc1OC,Alfuzosin,Known molecules,0,-1,THF
O=c1[nH]c(=O)n([C@@H]2CCCO2)cc1F,Tegafur,Known molecules,0,-1,THF
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C([C@H]3CCCO3)S[C@H]12,Faropenem,Known molecules,0,-1,THF
CN1CCC[C@H]1c1cccnc1,Nicotine,Known molecules,0,-1,pyrrolidine
CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,Sulpiride,Known molecules,0,-1,pyrrolidine
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,Captopril,Known molecules,0,-1,pyrrolidine
Oc1ccc2c(c1)[C@]13CCCC[C@@]1(O)[C@H](C2)N(CC1CCC1)CC3,Butorphanol,Known molecules,0,-1,cyclobutane
NC(=O)c1ccc(F)c2c1C[C@@H](N(C1CCC1)C1CCC1)CO2,Robalzotan,Known molecules,0,-1,cyclobutane
Nc1nc(=O)c2ncn([C@@H]3C[C@@H](CO)[C@H]3CO)c2[nH]1,Lobucavir,Known molecules,0,-1,cyclobutane
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,Myricetin,Known molecules,1,-1,hydroxylated benzene
N[C@H](CO)C(=O)NNCc1ccc(O)c(O)c1O,Benserazide,Known molecules,1,-1,hydroxylated benzene
CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,TW-37,Known molecules,1,-1,hydroxylated benzene
O=C(NCN1CCOCC1)c1cnccn1,Morinamide,Known molecules,1,-1,pyrazine
CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,Zopiclone,Known molecules,1,-1,pyrazine
Nc1cncc(Cl)n1,2-Amino-6-Chloropyrazine,Known molecules,1,-1,pyrazine
O=C1Nc2ccccc2C1=O,Isatin,Known molecules,1,-1,cyclic diketone
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,Tanshinone I,Known molecules,1,-1,cyclic diketone
CCCCOc1c(OCCCC)c(=O)c1=O,Squaric acid dibutyl ester,Known molecules,1,-1,cyclic diketone
CC1(C)CC(Oc2ccc(-c3ccc(-c4cn[nH]c4)cc3O)nn2)CC(C)(C)N1,branaplam,Known molecules,0,-1,Piperidine
CC1(C)CC(OC(=O)C2CC2)CC(C)(C)N1O,OT-551,Known molecules,0,-1,Piperidine
CCCOC(=O)c1sc(C(=O)OCCC)c(O)c1O,Protiofate,Known molecules,1,-1,thiophene
COC(=O)[C@H](c1ccccc1)[C@@H]1CCCCN1,Methylphenidate,Known molecules,0,-1,Piperidine
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,Desloratadine,Known molecules,0,-1,Piperidine
C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1,Perhexiline,Known molecules,0,-1,"Piperidine,cyclohexyl"
CN=C=O,,Collinear,-1,1,isocyanate
CN=C=S,,Collinear,-1,1,Thioisocyanate
CC=C=C,,Collinear,-1,1,allene
CC(C)=C=C,,Collinear,-1,1,allene
CC(C)=C=CC,,Collinear,-1,1,allene
CC(C)=C=C(C)C,,Collinear,-1,1,allene
c1ccccc1C#Cc1ccccc1,,Collinear,-1,1,Alkyne
c1ccccc1C#CC,,Collinear,-1,1,Alkyne
CC#CC,,Collinear,-1,1,Alkyne
c1ccccc1C#C,,Collinear,-1,1,Alkyne
CC#CC#CC,,Collinear,-1,1,Alkyne
CC#CC(=O)OC,,Collinear,-1,1,Alkyne
c1ccccc1CC#C,,Collinear,-1,1,Alkyne
c1ccccc1CC#CCc1ccccc1,,Collinear,-1,1,Alkyne
CC#N,,Collinear,-1,1,Cyanide
c1ccccc1C#N,,Collinear,-1,1,Cyanide
CN=C=NC,,Collinear,-1,1,Carbodiimide
C1CCCCC1N=C=NC1CCCCC1,,Collinear,-1,1,Carbodiimide
CN=[N+]=[N-],,Collinear,-1,1,Azide
c1ccccc1N=[N+]=[N-],,Collinear,-1,1,Azide
C[N+]#[C-],,Collinear,-1,1,Isocyanide
c1ccccc1O,,Planar,1,-1,oxygenated benzene
c1cccc(O)c1O,,Planar,1,-1,oxygenated benzene
c1ccc(O)cc1O,,Planar,1,-1,oxygenated benzene
c1cc(O)ccc1O,,Planar,1,-1,oxygenated benzene
c1ccc(O)c(O)c1O,,Planar,1,-1,oxygenated benzene
c1cc(O)cc(O)c1O,,Planar,1,-1,oxygenated benzene
c1c(O)cc(O)cc1O,,Planar,1,-1,oxygenated benzene
o1c(N)c(F)cc1,,Planar,1,-1,substituted furan
o1c(N)c(CO)cc1,,Planar,1,-1,substituted furan
o1c(CO)c(CO)cc1,,Planar,1,-1,substituted furan
o1c(CO)c(N)cc1 ,,Planar,1,-1,substituted furan
C1CCCCC1,,Non-planar,0,-1,Cyclohexane
C1CCCCC1CN,,Non-planar,0,-1,Cyclohexane
C1CCCCC1N,,Non-planar,0,-1,Cyclohexane
C1CCCCC1C1CCCCC1,,Non-planar,0,-1,Cyclohexane
CC1(CCCCC1)C,,Non-planar,0,-1,Cyclohexane
C1CCCCC1O,,Non-planar,0,-1,Oxygenated cyclohexane
C1CCCC(O)C1O,,Non-planar,0,-1,Oxygenated cyclohexane
C1CCC(O)CC1O,,Non-planar,0,-1,Oxygenated cyclohexane
C1CC(O)CCC1O,,Non-planar,0,-1,Oxygenated cyclohexane
C1CCC(O)C(O)C1O,,Non-planar,0,-1,Oxygenated cyclohexane
C1CC(O)CC(O)C1O,,Non-planar,0,-1,Oxygenated cyclohexane
C1CC(O)C(O)CC1O,,Non-planar,0,-1,Oxygenated cyclohexane
C1CCCCN1,,Non-planar,0,-1,piperidine
C1CCCCN1C,,Non-planar,0,-1,piperidine
C1CCC(CCCC2)C2C1,,Non-planar,0,-1,Decalin
C1OCC1C,,Non-planar,0,-1,Oxetane
CC1NCC1,,Non-planar,0,-1,pyrrolidine
CC1OCC1,,Non-planar,0,-1,THF
CC1OCCC1,,Non-planar,0,-1,THP
